Lastname,Firstname,Gender,Age,City,Province,Country,Your Height,Your Body Weight,Your Shoe Size,How often do you  brush your teeth in a day?,What is the number of times you floss in a week?,How many languages do you speak fluently?,How many musical instruments do you play?,What is the number of years you've been in school?,How much TV do you watch in a day?,How much time do you spend on the internet everyday?,How many apps have you downloaded on your phone?,How much time do you spend on exercising every week?,How many cell phones do you own in a year?,How many game consoles do you own?,How much do you pay for your monthly cellphone bill?,What is your monthly internet bill?,What is your monthly rent?,What is your monthly transportation spending?,How many kids do you have?,Are you vegetarian?,How much money do you spend for lunch?,What's favorite subject in highschool?,How many pets do you currently own?,How many cars do you own?,What kind of phone do you have?,What is your favorite sport?,Coca-Cola or Pepsi?,How many times do you dine at a restaurant every week?
Simanjuntak,Brendon,M,23,Toronto,ON,CA,170,,10.5,2,1,2,0,18,,,43,60,4,0,58,47,1700,350,0,No,14.2,,,1,Android,,,
Baker,Amari,M,22,Toronto,ON,CA,,68,11,2,0,2,0,16,1.5,2.5,,0,3,1,,82,1700,350,0,No,,Biology,,0,iOS,,,1
Huang,Tij,M,19,Toronto,ON,CA,173,83,10,,,1,0,13,1.17,2.33,31,,5,1,,76,,350,0,No,0,Chemistry,1,1,Android,Hockey,,2
Simmons,Tyler,M,26,Toronto,ON,CA,184,77,11.5,,0,2,0,15,,3.67,41,80,,1,,72,,350,0,No,0,Chemistry,,0,Android,Hockey,Coca Cola,4
Felix,Angel-Danielle,F,30,Toronto,ON,CA,163,,8.5,2,1,1,0,14,1.33,2,42,70,,,55,,,130,,No,,History,0,1,,Hockey,,2
Kaskie,Phillip,M,25,Toronto,ON,CA,169,73,,,,1,0,18,,,,0,2,1,36,72,1700,350,0,Somewhat,,Business,0,,,Basketball,Pepsi,2
Zarate-Barron,Mariah,F,28,Toronto,ON,CA,,65,8.5,2,,1,0,,1.67,2,42,0,3,,,95,1700,350,,No,,Visual Arts,0,1,,Basketball,,4
Chak,Aaron,M,22,Toronto,ON,CA,177,,,2,1,1,0,16,1.83,2.5,28,90,4,,81,67,1710,350,,No,10,Biology,0,1,,,,2
Pratt,Sonim,M,27,Toronto,ON,CA,181,78,10,,,,0,15,1.33,,40,0,9,,69,62,1700,350,0,No,,Computer Science and Technology,1,0,Android,,,2
Valles-Lopez,Christi,F,23,Toronto,ON,CA,169,,6.5,2,,1,,14,1.67,,32,70,2,,67,,,350,,No,13.3,,2,1,,,Pepsi,
Johnston,Blake,M,23,Toronto,ON,CA,,,,3,0,3,,,1.83,1.83,37,0,,2,44,66,1960,350,0,Strictly,12.9,Math,0,,,Hockey,Coca Cola,4
Burke,Luke,M,25,Toronto,ON,CA,176,79,9,2,0,,0,18,,,,0,6,0,69,68,1700,350,0,No,10.5,English,,0,,Basketball,,
Thompson,Jacob,M,18,Toronto,ON,CA,173,76,,3,,2,0,12,,2.83,8,0,7,,,61,,,0,No,0,English,2,0,Android,,,0
Blais,Brandon,M,21,Toronto,ON,CA,163,84,11.5,2,1,2,1,15,1.5,2.67,20,80,5,1,,59,,350,0,,0,Physics,0,0,,Soccer,I Don't Care,0
Shiba,Trevor,M,21,Toronto,ON,CA,181,,10.5,2,,,,15,1.67,,42,60,4,0,43,88,1700,,0,No,0,,1,0,Android,Soccer,,1
Galvez,Gerardo,M,20,Toronto,ON,CA,169,73,9.5,3,0,2,1,14,2.17,,36,70,,1,79,56,,,0,,0,Drama,1,0,,Hockey,Coca Cola,0
Munoz,Amber,F,25,Toronto,ON,CA,166,67,7,2,0,2,0,17,1.83,2.33,33,,,3,50,57,1700,350,0,No,0,PhysEd,0,,iOS,Football,Pepsi,3
Baak,Kevin,M,19,Toronto,ON,CA,175,,7.5,,1,1,,13,1.5,2.5,39,40,1,1,,68,1700,,0,,0,History,0,0,Android,,Coca Cola,1
Sanchez,Jennifer,F,21,Toronto,ON,CA,168,85,7.5,,2,2,1,15,1.83,,,,,0,59,,1700,,0,Somewhat,,Music,2,,Android,Baseball,I Don't Care,4
Cargill,Kathryn,F,22,Toronto,ON,CA,163,75,6.5,,,1,0,16,1.67,2,,0,3,0,57,74,1700,,0,No,,Geography,1,0,,Baseball,,
Norman,Matthew,M,20,Toronto,ON,CA,,105,8,2,2,1,2,14,,2.83,,80,2,1,35,53,1700,,0,No,0,Visual Arts,1,0,,Football,,2
Nugent,Herman,M,27,Toronto,ON,CA,181,74,7,2,0,,0,15,,2.67,28,,,1,54,64,1700,350,0,,11.4,PhysEd,1,,Android,,,
Rosas,Randi,F,26,Toronto,ON,CA,163,,8,2,0,1,,17,2,,,0,5,1,55,73,2200,350,1,,12.2,Visual Arts,0,1,,Baseball,Pepsi,
Ball,Jacob,M,25,Toronto,ON,CA,,74,,2,,,0,,1.83,2.33,37,80,9,0,66,69,1700,350,0,No,13.2,Biology,,0,Android,Soccer,I Don't Care,1
White,Melissa,F,26,Toronto,ON,CA,166,70,6,2,0,,1,17,2,2,16,,13,1,14,75,1700,350,1,No,0,Music,0,0,,,Pepsi,
Akiyama,Julian,M,25,Toronto,ON,CA,167,88,7,,,1,0,14,2.33,,43,90,2,0,,43,,350,1,,0,Business,,0,Android,Hockey,I Don't Care,4
Rhodes,Derrick,M,20,Toronto,ON,CA,173,,,2,1,,0,,1.83,,28,80,6,0,52,55,1700,,0,No,,Computer Science and Technology,1,0,Android,,I Don't Care,1
Delacruz,Semaj,M,23,Toronto,ON,CA,177,95,12,2,0,,0,13,,3.33,,,,0,49,66,,350,,No,12.9,,2,,Android,Soccer,,5
Ortega,Benjamin,M,18,Toronto,ON,CA,174,81,10,2,,1,0,,1.33,3.5,53,90,7,,71,86,1700,350,0,No,0,Business,0,,iOS,Hockey,,1
Abai,Dawnee,F,25,Toronto,ON,CA,164,76,7.5,2,0,1,,13,2,3,39,0,4,,70,50,2060,,,No,16.1,English,0,,,Soccer,,0
Moya,Jamie,F,23,Toronto,ON,CA,171,79,6.5,2,1,1,0,15,,2.67,48,0,2,,59,72,1700,,,No,0,,0,0,,Hockey,,1
Raymond,Francesca,F,25,Toronto,ON,CA,,75,8,,0,,0,17,2.33,2.5,,60,2,1,26,69,,,1,No,16.2,,2,0,Android,Basketball,Coca Cola,1
Francis,Rick,M,28,Toronto,ON,CA,181,88,,2,,,0,17,1,3,,70,5,1,76,63,1700,,1,No,12.8,Physics,1,0,,Soccer,Coca Cola,
Barnes,Daniel,M,25,Toronto,ON,CA,168,71,10,2,1,1,0,13,1.83,,,,2,,62,,1700,350,0,No,0,Music,1,1,Android,Soccer,,3
Le,Erick,M,26,Toronto,ON,CA,175,,,,1,3,0,15,1.67,1.83,33,100,5,,76,,1700,350,0,No,9.3,,0,1,Android,Football,I Don't Care,0
Miyake,Derantae,M,20,Toronto,ON,CA,170,86,8,,1,2,1,14,1.67,1.17,44,70,6,1,55,67,1700,350,0,No,0,Drama,0,0,Android,,,1
Mendez,Kia,F,32,Toronto,ON,CA,166,69,7,2,0,,0,16,1,1.5,29,50,,0,,78,1100,210,3,No,12,Drama,0,,,,,2
Day,Karthikeyan,M,23,Toronto,ON,CA,177,,,2,,1,0,,,2,,70,2,0,,64,1700,350,,No,0,Languages,3,1,Android,Hockey,,
Agan,Joshua,M,20,Toronto,ON,CA,,85,7.5,2,2,3,0,14,1.83,2.5,,70,6,,26,74,,350,0,,0,Geography,0,0,,Baseball,Coca Cola,1
Haskell,Kellie,F,29,Toronto,ON,CA,165,,6,2,,1,0,15,,2.67,34,100,,0,,64,,,,No,12.2,History,1,,,,,2
Camorlinga,Torres,F,24,Toronto,ON,CA,158,61,,2,1,1,0,15,1.83,2.67,36,80,,0,68,62,,350,,No,0,Geography,,,,,Pepsi,0
Ferndez,Sativa,F,24,Toronto,ON,CA,161,70,6,2,,1,,15,,2.83,38,110,,1,63,54,,,1,No,9.9,Chemistry,1,0,,Hockey,I Don't Care,1
Hairgrove,Amanda,F,21,Toronto,ON,CA,170,56,8,,,3,1,,1.5,2.67,28,,6,2,74,82,1700,350,0,,0,Chemistry,3,0,Android,Hockey,,0
Leon,Cecilia,F,32,Toronto,ON,CA,,77,,,,2,,18,2.5,,37,140,0,1,76,66,,130,2,No,0,Math,0,,,Basketball,,3
Hardy,Alai,F,24,Toronto,ON,CA,165,65,8,2,,1,0,14,,,,0,1,2,85,58,,350,0,No,0,Chemistry,2,1,Android,Hockey,I Don't Care,3
Hollis,Mark,M,18,Toronto,ON,CA,,,9.5,2,0,,0,12,2,,39,,2,,68,63,1700,,0,No,0,Languages,1,,iOS,Basketball,,1
Lovelace,Oliver,M,24,Toronto,ON,CA,165,74,11,2,0,2,0,,,,37,100,,1,62,74,,,,No,14.5,History,,1,,Soccer,,4
Torres,Isha,F,21,Toronto,ON,CA,169,72,7.5,2,0,3,0,15,2.17,3.33,33,30,1,2,49,81,1700,350,0,No,,PhysEd,2,1,,Hockey,,3
Brown,Sabri,F,27,Toronto,ON,CA,164,80,8,,0,1,0,18,1.5,,,,,,,56,1700,,1,,0,,0,0,,Hockey,I Don't Care,
Durham,Courtney,F,19,Toronto,ON,CA,175,,6.5,2,0,1,0,13,,3.67,38,90,9,0,72,60,1700,350,0,Somewhat,,Biology,2,0,iOS,Basketball,,
Williams,Cicely,F,21,Toronto,ON,CA,,74,7.5,2,,1,0,15,2,3,38,100,3,,101,83,,350,,Somewhat,0,Geography,1,0,iOS,Soccer,,1
Choromanski,Shau,F,28,Toronto,ON,CA,173,71,8,2,0,1,1,20,1.33,2.33,34,80,3,1,72,69,1700,350,1,,0,,1,,Android,Hockey,I Don't Care,5
Gresham,Bria,F,27,Toronto,ON,CA,167,,,2,0,1,,16,1.33,2.17,,50,,1,59,69,,350,,Somewhat,10.1,English,1,1,,Hockey,,
Ekayake,David,M,23,Toronto,ON,CA,172,92,,2,0,,,14,1,1.83,46,,,0,86,65,1700,350,0,No,,PhysEd,,1,Android,Football,I Don't Care,
Stonestreet,Jacob,M,23,Toronto,ON,CA,,87,8,2,0,1,0,13,0.83,3,38,0,6,1,79,63,1700,350,0,No,0,,1,,iOS,,Coca Cola,2
Turner,Lorien,F,21,Toronto,ON,CA,164,,,2,0,2,0,15,2,,38,80,8,1,63,59,1700,350,0,Somewhat,,,0,0,Android,,,4
Sthill,Amanda,F,23,Toronto,ON,CA,,69,6.5,2,1,1,1,17,1.67,,,90,4,0,,64,1700,350,0,,17.1,Chemistry,3,,,Soccer,I Don't Care,0
Grover,Vang,M,24,Toronto,ON,CA,170,,,2,0,2,1,18,1.33,2.83,39,100,,0,77,70,,350,,No,,PhysEd,,0,iOS,Soccer,Pepsi,1
Fifita,Landyn,M,26,Toronto,ON,CA,171,,9,2,1,,0,19,,2.67,24,80,4,3,78,,1700,350,,No,,Visual Arts,,,iOS,Basketball,,0
Fuchs,SUSn,F,26,Toronto,ON,CA,167,59,7.5,,0,1,,,,3,31,0,3,0,,60,1700,350,0,No,0,Music,0,,,,I Don't Care,
Alvarez,Ruiz,F,25,Toronto,ON,CA,,62,8.5,,0,1,2,19,2.33,2.67,28,0,4,,,72,1700,350,0,No,,,0,0,Android,,I Don't Care,4
Miller,Sophia,F,23,Toronto,ON,CA,169,72,7,,1,2,,15,,,46,90,4,1,,54,1700,,0,,11.4,,1,0,Blackberry,Hockey,I Don't Care,
Jones,Xin,F,23,Toronto,ON,CA,,65,8,,0,1,0,,1.5,,28,50,4,0,55,72,,350,0,No,,,,,Android,Soccer,I Don't Care,
Fu,Esteban,M,18,Toronto,ON,CA,,82,8.5,,0,2,0,12,1,,33,30,2,2,,77,1700,350,0,Somewhat,0,Visual Arts,0,0,Android,Soccer,Pepsi,2
Casados,Lynney,F,25,Toronto,ON,CA,162,,6,2,,1,,,,,,90,3,1,61,,1700,350,1,No,0,Visual Arts,0,,,,,0
Kanherkar,Fahrraan,M,23,Toronto,ON,CA,155,91,,2,0,4,0,15,,3,24,90,5,3,81,69,1700,350,,No,,Languages,,1,Android,,I Don't Care,0
Palaka,Silviano,M,25,Toronto,ON,CA,164,77,8.5,2,1,1,,17,1.5,2.83,30,120,1,,25,62,1700,350,,,,Physics,1,,,Baseball,Coca Cola,3
Brooks-Jeremiah,Brandi,F,22,Toronto,ON,CA,172,68,8,2,1,1,0,,1.67,2.33,34,80,4,,47,61,1700,350,0,No,,History,0,,,Soccer,,
Carrillo,Miranda,F,30,Toronto,ON,CA,166,75,,2,,1,,15,2,,42,0,,0,77,,1130,,1,No,,Physics,0,1,Android,,,0
Howard,Jerry,M,22,Toronto,ON,CA,175,75,,2,0,1,0,16,1.83,3.17,30,0,1,,70,73,,,0,No,8.4,,,0,Android,Football,,2
Cohen,Jd,M,19,Toronto,ON,CA,,,6,2,0,,,13,,,19,0,,,,58,1700,,,No,,,0,,,,I Don't Care,4
Delgadillo,Karol,F,21,Toronto,ON,CA,,65,6.5,,,1,0,15,1.17,3.67,,0,4,,67,72,,,0,No,3.7,,0,0,Android,Hockey,,0
Lim,Mario,M,20,Toronto,ON,CA,186,80,7,2,,1,0,14,1.17,2.17,39,70,,,71,42,1700,350,0,Somewhat,,Physics,0,0,Android,Hockey,Pepsi,3
Lopez,Skylar,M,25,Toronto,ON,CA,,99,9.5,3,0,1,0,14,2.17,2.33,35,,4,0,,74,1700,350,0,No,12.4,Business,0,0,Android,Soccer,,1
Martinez,Ian,M,20,Toronto,ON,CA,,,10.5,2,0,1,0,,2.17,2.67,27,80,4,,78,60,1700,350,0,No,0,Chemistry,3,,Android,Football,I Don't Care,
Pinch,Jims,M,21,Toronto,ON,CA,185,,10,2,0,2,0,,,2.33,29,100,4,,35,74,1700,350,0,No,0,Languages,0,,,Soccer,Coca Cola,
Stuckey,Garett,M,24,Toronto,ON,CA,172,70,11,,0,,0,14,1.5,3.33,36,50,4,1,61,72,,350,0,,10.7,Geography,0,0,Android,,,2
Galvez,Cody,M,24,Toronto,ON,CA,172,78,9.5,,,1,0,18,1.67,3,37,80,5,0,84,62,1700,350,0,,,,,0,Blackberry,Soccer,I Don't Care,1
Mclaughlin,Carly,F,24,Toronto,ON,CA,173,74,8.5,2,0,1,1,18,,2.33,51,0,,1,33,67,1700,350,1,,13.5,Physics,2,1,Android,,,3
Morales,Jeffrey,M,24,Toronto,ON,CA,172,90,9.5,2,0,1,0,,,,30,80,,0,46,72,1700,,1,No,9.8,Drama,0,0,Android,,I Don't Care,2
Suarez,Rosan,F,25,Toronto,ON,CA,163,68,7.5,2,1,,1,12,2.67,1.5,,0,8,,73,73,1700,350,0,,0,Music,,0,,Soccer,I Don't Care,1
Fredericks,Christopher,M,22,Toronto,ON,CA,181,80,9.5,3,,1,0,16,2.17,2.33,46,90,5,2,,,1700,,0,No,15.5,English,1,,,Basketball,I Don't Care,4
Chen,Anthony,M,19,Toronto,ON,CA,166,88,9,2,0,,2,13,1,,43,60,4,0,,,1700,,0,No,0,English,0,1,Android,,Pepsi,0
Umemura,Brendon,M,28,Toronto,ON,CA,,72,,,0,1,2,18,,3,27,0,3,1,102,76,1700,350,0,No,12.2,Music,0,0,Android,Soccer,I Don't Care,1
Rivera,Munoz,M,23,Toronto,ON,CA,179,,9,2,0,1,0,12,1.67,2.5,,60,,,54,72,1700,,0,No,,,0,1,,Football,,2
Tovar-Guzman,Talia,F,23,Toronto,ON,CA,167,73,8.5,2,,2,0,18,2.17,2,,0,0,1,78,69,1700,350,0,,11.5,,0,0,Android,,,2
Romero,Melyzjah,F,31,Toronto,ON,CA,164,58,7.5,2,1,,0,15,1.33,,34,,6,,,54,1230,210,1,No,,Physics,,0,Android,,,4
Alonzo,Alejandra,F,19,Toronto,ON,CA,,,8,4,,3,,,1.67,2.17,,90,1,,51,82,1700,,0,No,3.6,Computer Science and Technology,,1,,Basketball,Pepsi,1
Abeyta,Devon,M,25,Toronto,ON,CA,176,82,10,,,1,,13,1.83,2.67,41,0,,1,63,66,1700,350,1,No,12.5,Computer Science and Technology,0,,,Soccer,,4
Sam,Conner,M,29,Toronto,ON,CA,176,73,8,2,1,,0,,2,3.33,13,,5,1,79,56,1430,140,1,No,13.1,Physics,1,1,Android,Basketball,Coca Cola,
Holum,Alex,M,23,Toronto,ON,CA,177,,8.5,2,0,1,0,16,1.83,2.33,45,,2,1,64,40,1700,350,0,,12.3,Physics,3,0,Android,,I Don't Care,
Mcdold,Yoel,M,22,Toronto,ON,CA,,90,13,,0,1,1,16,,1.17,44,90,,0,,,1700,,0,No,0,Geography,1,0,Android,Basketball,Coca Cola,0
Chen,Joshua,M,23,Toronto,ON,CA,,81,,4,,1,,15,1.67,2.5,35,90,6,,72,66,1700,350,0,No,15.4,Business,0,0,,Baseball,Coca Cola,
Kim,Malik,M,23,Toronto,ON,CA,,94,7,3,,2,,19,1.33,3,,,2,,46,57,1700,350,0,Somewhat,,Geography,0,0,,,Coca Cola,0
Villa,Jeanea,F,22,Toronto,ON,CA,173,67,7,2,0,1,0,16,1.5,4,29,80,,1,,,1700,350,0,No,,,0,0,Android,,,
Lovingier,An,F,23,Toronto,ON,CA,164,,,,,1,0,16,1.5,,41,80,4,0,77,65,1700,350,,No,0,,0,1,Android,Baseball,I Don't Care,2
Ruiz,Sele,F,23,Toronto,ON,CA,164,72,9,2,0,3,0,15,1.67,2.33,40,0,4,,,67,2050,,0,No,11.2,,0,0,,Football,,
Thomas,Megan,F,24,Toronto,ON,CA,160,64,7.5,4,,3,0,,1.83,,29,,,1,105,66,1700,,0,,13.6,,2,0,Android,,I Don't Care,2
Salas,Brio,F,25,Toronto,ON,CA,174,57,,2,,1,,18,1.5,,,80,,1,58,69,1830,350,,No,,Business,1,0,,Basketball,,2
Madrid,Rold,M,24,Toronto,ON,CA,172,69,,,1,2,,16,1.83,3,36,50,3,1,70,,1700,,,,,Drama,,0,Android,,Coca Cola,1
Vang,Robel,M,21,Toronto,ON,CA,183,,11,3,1,2,0,,1.5,,58,80,3,2,59,68,1700,350,,No,0,Geography,1,,Android,Hockey,I Don't Care,2
Santos,Abigail,F,27,Toronto,ON,CA,164,,,2,0,,0,17,1.5,2.5,50,0,6,2,58,84,,,1,,0,Biology,,0,Android,Basketball,I Don't Care,
Ji,Jamon,M,26,Toronto,ON,CA,170,96,,2,,,,,1,2.17,,110,3,2,44,,1700,350,0,No,11.8,Geography,0,1,iOS,Hockey,Pepsi,2
Mcdermott,Savan,F,19,Toronto,ON,CA,161,73,8.5,2,0,,0,13,1.5,,33,,3,0,64,71,,350,,No,0,Computer Science and Technology,0,0,,Hockey,Pepsi,3
Her,Emmanuel,M,35,Toronto,ON,CA,172,75,,3,1,2,0,16,2.17,2.83,,80,3,1,75,,800,,2,No,,History,,1,,,,1
Proper,Monyindi,M,24,Toronto,ON,CA,,,9.5,2,1,,0,,1.5,2.67,,110,5,0,64,84,1700,350,1,No,10.2,English,0,1,,Soccer,I Don't Care,2
Shimizu,Dold,M,18,Toronto,ON,CA,179,75,11.5,2,1,1,0,12,1.33,3.17,30,70,4,1,,53,,350,0,No,0,Computer Science and Technology,,0,Android,,,3
Harmon,Mustafa,M,23,Toronto,ON,CA,169,92,9,2,0,,0,18,,2.83,14,,3,1,67,77,,350,0,No,8.8,English,,,,Baseball,,2
Le,Juan,M,22,Toronto,ON,CA,,62,9,2,,1,,16,1,,33,60,2,0,,59,,350,,No,0,Visual Arts,0,0,iOS,Hockey,,2
Metcalf,Angel,F,28,Toronto,ON,CA,167,,,2,,,2,,,1.67,21,70,,0,75,75,,350,,No,14.9,Computer Science and Technology,0,2,,Soccer,,1
Leopold,Justin,M,26,Toronto,ON,CA,166,97,,2,1,,,16,1.5,,18,,1,,53,66,1700,350,1,No,,Visual Arts,0,,iOS,Baseball,I Don't Care,0
Sourivong,Edgar,M,20,Toronto,ON,CA,183,,12,2,1,4,,,0.83,2.67,34,60,4,0,66,66,1700,,0,No,0,Computer Science and Technology,2,0,Android,,I Don't Care,2
Lacour,Uyen,F,25,Toronto,ON,CA,170,55,7,2,,,0,13,1.17,2.17,,0,2,2,,62,2110,350,1,,11.6,Music,4,,,,,
Cohen,Aaron,M,18,Toronto,ON,CA,175,,7.5,2,,,1,12,,2.33,22,90,,3,40,69,1700,350,0,No,0,Business,0,,,Hockey,I Don't Care,2
Nelson,Robert,M,26,Toronto,ON,CA,171,95,10,,0,,2,14,1.67,2.67,,100,,1,65,63,1700,350,1,No,13.1,Math,0,1,,Baseball,,
Martin,Andrew,M,25,Toronto,ON,CA,,74,8.5,2,0,1,0,18,1.67,2.5,35,120,2,0,,55,1700,350,0,No,14.1,English,0,0,Windows,Baseball,Pepsi,1
Burks,Hayden,M,28,Toronto,ON,CA,,71,9.5,2,0,2,0,14,1.83,2.5,26,,,0,49,50,1700,350,1,,10.4,History,0,,,Football,,
