Lastname,Firstname,Gender,Age,City,Province.State,Country,,,,
Warner,Rick,M,23,Toronto,ON,Canada,,,,
Jamison,Sara,F,22,Toronto,ON,Canada,,,,
Hyun,Angel,M,19,Toronto,ON,Canada,,,,
Lopez-varro,Mikala,F,24,Toronto,ON,Canada,,,,
Kwiat,Ludovica,F,25,Toronto,ON,Canada,,,,
Chen,Jose,M,27,Toronto,ON,Canada,,,,
Allarakhia,Michael,M,20,Toronto,ON,Canada,,,,
Bahe,Landa,F,20,Toronto,ON,Canada,,,,
Fennell,George,M,29,Toronto,ON,Canada,,,,
Boyadzhieva,Elizabeth,F,22,Toronto,ON,Canada,,,,
Johnson,Olivia,F,27,Toronto,ON,Canada,,,,
Dickinson,Elijah,M,22,Toronto,ON,Canada,,,,
Banuelos,Iecia,F,25,Toronto,ON,Canada,,,,
Ahmed,Anthony,M,24,Toronto,ON,Canada,,,,
Cooper,Jazmine,F,25,Toronto,ON,Canada,,,,
Ruiz,Krysty,F,26,Toronto,ON,Canada,,,,
Taravella,Zhan,F,31,Toronto,ON,Canada,,,,
Anderson,Jacob,M,22,Toronto,ON,Canada,,,,
Bagneris,Angel,F,27,Toronto,ON,Canada,,,,
Hayes,Cassandra,F,26,Toronto,ON,Canada,,,,
Huang,Yotan,M,29,Toronto,ON,Canada,,,,
Castore-Rodriguez,Lupita,F,28,Toronto,ON,Canada,,,,
pila,Parris,M,20,Toronto,ON,Canada,,,,
Lightfoot,Phillip,M,24,Toronto,ON,Canada,,,,
Andales,Mitchell,M,24,Toronto,ON,Canada,,,,
Hobbs,Mariah,F,24,Toronto,ON,Canada,,,,
Yazzie,Justin,M,26,Toronto,ON,Canada,,,,
Akindele,Hayden,M,18,Toronto,ON,Canada,,,,
Ginsberg,Rodney,M,23,Toronto,ON,Canada,,,,
Yi,Jaron,M,25,Toronto,ON,Canada,,,,
Arreola,Suzette,F,21,Toronto,ON,Canada,,,,
Porambo,Jash,M,24,Toronto,ON,Canada,,,,
Coleman,Dominic,M,20,Toronto,ON,Canada,,,,
Echerivel,Randy,M,26,Toronto,ON,Canada,,,,
Pamintuan,Sonny,M,19,Toronto,ON,Canada,,,,
Sanchez,Megan,F,26,Toronto,ON,Canada,,,,
Blanco,Antonio,M,26,Toronto,ON,Canada,,,,
Stoorman,Tatia,F,23,Toronto,ON,Canada,,,,
West-Brown,Selma,F,24,Toronto,ON,Canada,,,,
Burns,Khunica,F,20,Toronto,ON,Canada,,,,
Garcia,David,M,23,Toronto,ON,Canada,,,,
Larson,Nicalette,F,28,Toronto,ON,Canada,,,,
Bisque,Shelley,F,23,Toronto,ON,Canada,,,,
Johnsen,Kandice,F,29,Toronto,ON,Canada,,,,
Winklmann,Nicholas,M,26,Toronto,ON,Canada,,,,
Jordan,Henry,M,28,Toronto,ON,Canada,,,,
Miller,Tarah,F,19,Toronto,ON,Canada,,,,
Repollo,Theopolis,M,26,Toronto,ON,Canada,,,,
Juarez,Rochelle,F,25,Toronto,ON,Canada,,,,
Loredo,ncy,F,27,Toronto,ON,Canada,,,,
Battumur,Walter,M,22,Toronto,ON,Canada,,,,
Goshay,Monica,F,27,Toronto,ON,Canada,,,,
Quintanilla,Daniel,M,23,Toronto,ON,Canada,,,,
Mason,Brenden,M,27,Toronto,ON,Canada,,,,
Takahashi,Joel,M,25,Toronto,ON,Canada,,,,
Hinton,Manley,M,31,Toronto,ON,Canada,,,,
Metzger,William,M,29,Toronto,ON,Canada,,,,
Graves,Cyrene,F,19,Toronto,ON,Canada,,,,
Wong,Angelo,M,24,Toronto,ON,Canada,,,,
Aguilar,Raian,F,28,Toronto,ON,Canada,,,,
Henry,Galen,M,18,Toronto,ON,Canada,,,,
Jacildo,Jesus,M,21,Toronto,ON,Canada,,,,
Rivera,Justin,M,24,Toronto,ON,Canada,,,,
Day,Christopher,M,31,Toronto,ON,Canada,,,,
Borunda,Genesis,F,26,Toronto,ON,Canada,,,,
Manganello,De'Vante,M,24,Toronto,ON,Canada,,,,
Zamarripa,Jennifer,F,23,Toronto,ON,Canada,,,,
Ramos,Gabriela,F,19,Toronto,ON,Canada,,,,
Watson,Cody,M,24,Toronto,ON,Canada,,,,
Mangelsen,Megan,F,23,Toronto,ON,Canada,,,,
Vue,Moises,M,23,Toronto,ON,Canada,,,,
Sambula-Sheriff,Joshua,M,27,Toronto,ON,Canada,,,,
Abdul-Wali,Aimee,F,25,Toronto,ON,Canada,,,,
Patel,Jothan,M,21,Toronto,ON,Canada,,,,
Fischer,Felicia,F,23,Toronto,ON,Canada,,,,
Nguyen,Bryan,M,25,Toronto,ON,Canada,,,,
Webb,Zachary,M,20,Toronto,ON,Canada,,,,
Turner,Sale,F,28,Toronto,ON,Canada,,,,
Herndez,Shanice,F,21,Toronto,ON,Canada,,,,
Martinez,Khoa,M,25,Toronto,ON,Canada,,,,
Kennon,Kevin,M,32,Toronto,ON,Canada,,,,
Guerra,Deyanira,F,27,Toronto,ON,Canada,,,,
Herndez,Rebeca,F,23,Toronto,ON,Canada,,,,
Rusli,Julian,M,26,Toronto,ON,Canada,,,,
Hoang,Ron,M,31,Toronto,ON,Canada,,,,
Melton,Brian,M,24,Toronto,ON,Canada,,,,
Carbajal,Brittany,F,19,Toronto,ON,Canada,,,,
Gonzalez,Romelia,F,18,Toronto,ON,Canada,,,,
Mandell,Robert,M,18,Toronto,ON,Canada,,,,
Lucero,Availya,F,18,Toronto,ON,Canada,,,,
Dutkin,Damian,M,20,Toronto,ON,Canada,,,,
Rohrkaste,Wesley,M,32,Toronto,ON,Canada,,,,
Merrell,Madeline,F,24,Toronto,ON,Canada,,,,
Khan,Jesus,M,18,Toronto,ON,Canada,,,,
Wallace,Anish,M,22,Toronto,ON,Canada,,,,
Ramos,Simonita,F,29,Toronto,ON,Canada,,,,
Mendoza,Yaritza,F,23,Toronto,ON,Canada,,,,
Jaramillo-Ortiz,Chasity,F,24,Toronto,ON,Canada,,,,
Whittiker,Tilane,F,25,Toronto,ON,Canada,,,,
Pierce,Chase,M,22,Toronto,ON,Canada,,,,
Caesar,Whitni,F,22,Toronto,ON,Canada,,,,
Ortiz,Joseph,M,29,Toronto,ON,Canada,,,,
Price,Brandon,M,26,Toronto,ON,Canada,,,,
Otsuki,Adalberto,M,23,Toronto,ON,Canada,,,,
Lee,Antonio,M,22,Toronto,ON,Canada,,,,
Talty,Luke,M,29,Toronto,ON,Canada,,,,
Cayou,Benjamin,M,26,Toronto,ON,Canada,,,,
varro,Alexis,F,30,Toronto,ON,Canada,,,,
Le,Michael,M,25,Toronto,ON,Canada,,,,
Kunzman,Jared,M,23,Toronto,ON,Canada,,,,
Chafin,Matthew,M,24,Toronto,ON,Canada,,,,
Garcia,Coronel,F,25,Toronto,ON,Canada,,,,
Asmarzadeh,Anthony,M,22,Toronto,ON,Canada,,,,
Quinta,Jasmine,F,32,Toronto,ON,Canada,,,,
Eriven,Tasi,F,24,Toronto,ON,Canada,,,,
Nunez,Elizabeth,F,21,Toronto,ON,Canada,,,,
Lathrop,Karl,M,27,Toronto,ON,Canada,,,,
Martin,Mollie,F,19,Toronto,ON,Canada,,,,
Wilburn,Zhjade,F,21,Toronto,ON,Canada,,,,
Pradhan,Kenneth,M,24,Toronto,ON,Canada,,,,
Rivera,Arrianne,F,19,Toronto,ON,Canada,,,,
Bhakta,Landis,M,24,Toronto,ON,Canada,,,,
Browning,Tori,F,26,Toronto,ON,Canada,,,,
Archer,Aziel,M,22,Toronto,ON,Canada,,,,
Romero,Alliyah,F,19,Toronto,ON,Canada,,,,
Bryant,Christi,F,33,Toronto,ON,Canada,,,,
Wesolowski,Isaac,M,30,Toronto,ON,Canada,,,,
Lewis,Sarah,F,23,Toronto,ON,Canada,,,,
Melvin,Juma,F,30,Toronto,ON,Canada,,,,
Le,D,M,24,Toronto,ON,Canada,,,,
Nguyen,James,M,30,Toronto,ON,Canada,,,,
Liggins,Sandra,F,19,Toronto,ON,Canada,,,,
Franco,Mariah,F,29,Toronto,ON,Canada,,,,
Baang,De,M,26,Toronto,ON,Canada,,,,
Banks,Danielle,F,21,Toronto,ON,Canada,,,,
Edwards-Johnson,Sun,F,29,Toronto,ON,Canada,,,,
Cano,Kira,F,22,Toronto,ON,Canada,,,,
Mathews,Mario,M,21,Toronto,ON,Canada,,,,
Slechter,Rei,M,22,Toronto,ON,Canada,,,,
Ortiz,Kyle,M,24,Toronto,ON,Canada,,,,
Du,Raul,M,21,Toronto,ON,Canada,,,,
Cho,Andrew,M,24,Toronto,ON,Canada,,,,
Lobato,Sabri,F,21,Toronto,ON,Canada,,,,
Canedo,Haley,F,21,Toronto,ON,Canada,,,,
Davis,Van,M,27,Toronto,ON,Canada,,,,
Moua,Sean,M,23,Toronto,ON,Canada,,,,
Tarrant,Sarah,F,22,Toronto,ON,Canada,,,,
Pineda,Angel,F,26,Toronto,ON,Canada,,,,
Ridley,Michael,M,21,Toronto,ON,Canada,,,,
Simpson,Cathy,F,29,Toronto,ON,Canada,,,,
Kim,Victor,M,21,Toronto,ON,Canada,,,,
Koul,Emilio,M,20,Toronto,ON,Canada,,,,
Trejo,Taylor,F,23,Toronto,ON,Canada,,,,
Tahlo,Son,M,20,Toronto,ON,Canada,,,,
Davis,Rachel,F,31,Toronto,ON,Canada,,,,
Beg,Simlah,M,19,Toronto,ON,Canada,,,,
Makam,Jose,M,25,Toronto,ON,Canada,,,,
Hill,Jelicha,F,22,Toronto,ON,Canada,,,,
Cho,Jesus,M,32,Toronto,ON,Canada,,,,
Erzen,Olivia,F,24,Toronto,ON,Canada,,,,
Griffin,Frankie,F,19,Toronto,ON,Canada,,,,
Batts,Asite,F,16,Toronto,ON,Canada,,,,
Lor,Orelessa,M,20,Toronto,ON,Canada,,,,
Adams,Patrick,M,25,Toronto,ON,Canada,,,,
Pham,Igcio,M,25,Toronto,ON,Canada,,,,
Lancaster,Kala,F,23,Toronto,ON,Canada,,,,
Jackson,Sammi,F,29,Toronto,ON,Canada,,,,
Summers,Vchuefeu,M,26,Toronto,ON,Canada,,,,
Rodriguez,Ciera,F,25,Toronto,ON,Canada,,,,
Lee,Carmelo,M,22,Toronto,ON,Canada,,,,
Vue,Sedrick,M,22,Toronto,ON,Canada,,,,
Gerlach,Benjamin,M,28,Toronto,ON,Canada,,,,
Banks,Heather,F,19,Toronto,ON,Canada,,,,
Harris,Robert,M,28,Toronto,ON,Canada,,,,
Selke,Adrienne,F,22,Toronto,ON,Canada,,,,
Salazar,Edison,M,22,Toronto,ON,Canada,,,,
Gonzalez,Kristin,F,27,Toronto,ON,Canada,,,,
Weasel,Bear,M,32,Toronto,ON,Canada,,,,
Ortiz,Franco,F,28,Toronto,ON,Canada,,,,
Martinez,Kimberly,F,22,Toronto,ON,Canada,,,,
Moon,Ernesto,M,26,Toronto,ON,Canada,,,,
Little,Eun,F,21,Toronto,ON,Canada,,,,
Peot,Mckayla,F,25,Toronto,ON,Canada,,,,
Moreno,Jacqueline,F,30,Toronto,ON,Canada,,,,
Pe,John,M,26,Toronto,ON,Canada,,,,
Rector,Gabriel,M,21,Toronto,ON,Canada,,,,
Crawford,Luis,M,23,Toronto,ON,Canada,,,,
Zhen,Juan,M,22,Toronto,ON,Canada,,,,
Crowder,Ala,F,21,Montreal,QC,Canada,,,,
Bohoom,Rachel,F,14,Montreal,QC,Canada,,,,
Glaspie,Nova,F,21,Montreal,QC,Canada,,,,
Meltzer,Yuki,M,19,Montreal,QC,Canada,,,,
Henderson-Hayes,Jassamine,F,23,Montreal,QC,Canada,,,,
Lewis,Nicholas,M,19,Montreal,QC,Canada,,,,
Roybal,Mercedes,F,26,Montreal,QC,Canada,,,,
Turner,Hindav,F,22,Montreal,QC,Canada,,,,
Nguyen,Bryan,M,22,Montreal,QC,Canada,,,,
Rivera,Brandon,M,24,Montreal,QC,Canada,,,,
Whelan,Alea,F,23,Montreal,QC,Canada,,,,
Melos,Althean,M,16,Montreal,QC,Canada,,,,
Reeves,Monica,F,23,Montreal,QC,Canada,,,,
Richards,Joachim,M,22,Montreal,QC,Canada,,,,
Daugherty,An,F,24,Montreal,QC,Canada,,,,
Mendoza,Caitlin,F,23,Montreal,QC,Canada,,,,
Mann,Jayla,F,23,Montreal,QC,Canada,,,,
Talent,Andy,M,25,Montreal,QC,Canada,,,,
Baranda,Esthela,F,24,Montreal,QC,Canada,,,,
Parsons,Monta,M,26,Montreal,QC,Canada,,,,
Sexton,Tevin,M,29,Montreal,QC,Canada,,,,
Russ,Jordon,M,24,Montreal,QC,Canada,,,,
Brandon,Jacob,M,22,Montreal,QC,Canada,,,,
Coleman,Matthew,M,27,Montreal,QC,Canada,,,,
Brunner,Isis,F,33,Montreal,QC,Canada,,,,
Mcclure,Ashley,F,20,Montreal,QC,Canada,,,,
Wu,Josue,M,29,Montreal,QC,Canada,,,,
Terrazas,Cristio,F,26,Montreal,QC,Canada,,,,
Hasselbach,Lyn,F,28,Montreal,QC,Canada,,,,
Evans,Shawn,F,22,Montreal,QC,Canada,,,,
Patterson,Tyler,M,29,Montreal,QC,Canada,,,,
Han,Raul,M,29,Montreal,QC,Canada,,,,
Ho,Jamal,M,28,Montreal,QC,Canada,,,,
Wang,Stevan,M,28,Montreal,QC,Canada,,,,
Thanh,Daizuan,M,26,Montreal,QC,Canada,,,,
Nicholas,Maurice,M,22,Montreal,QC,Canada,,,,
Eppard,Sean,M,21,Montreal,QC,Canada,,,,
Jimenez,Crystal,F,21,Montreal,QC,Canada,,,,
Ramirez,Shantee,F,21,Montreal,QC,Canada,,,,
Martinez,Alejandra,F,23,Montreal,QC,Canada,,,,
Kim,Diego,M,19,Montreal,QC,Canada,,,,
Denny,Joshua,M,25,Montreal,QC,Canada,,,,
Brooks,Jane,F,28,Montreal,QC,Canada,,,,
Fultonberg,Callie,F,22,Montreal,QC,Canada,,,,
Works,Gabriela,F,27,Montreal,QC,Canada,,,,
Kennedy,Ashley,F,22,Montreal,QC,Canada,,,,
Ferndez,Andrew,M,26,Montreal,QC,Canada,,,,
Staggs,Katherine,F,26,Montreal,QC,Canada,,,,
Nunez,ugh'Tia,F,25,Montreal,QC,Canada,,,,
Parker,Leon,M,23,Montreal,QC,Canada,,,,
Hazlehurst,Abram,M,17,Montreal,QC,Canada,,,,
Williams,Gaochazhong,F,28,Montreal,QC,Canada,,,,
Purdham,Christopher,M,30,Montreal,QC,Canada,,,,
Landrum,Hamid,M,28,Montreal,QC,Canada,,,,
Snyder,Mikayla,F,24,Montreal,QC,Canada,,,,
Hoang,Corey,M,26,Montreal,QC,Canada,,,,
Mohabes,Michael,M,31,Montreal,QC,Canada,,,,
Xiong,Esai,M,27,Montreal,QC,Canada,,,,
Digby,Moses,M,21,Montreal,QC,Canada,,,,
Benson,Gage,M,27,Montreal,QC,Canada,,,,
Devine,Hunter,M,25,Montreal,QC,Canada,,,,
Das,Julian,M,22,Montreal,QC,Canada,,,,
Bellow,Reihan,M,23,Montreal,QC,Canada,,,,
Prout,Jesus,M,20,Montreal,QC,Canada,,,,
Sanders,Lily,F,19,Montreal,QC,Canada,,,,
Chu,Enrique,M,19,Montreal,QC,Canada,,,,
Garcia,Jade,F,28,Montreal,QC,Canada,,,,
Hill,Michelle,F,28,Montreal,QC,Canada,,,,
Cook,Christine,F,24,Montreal,QC,Canada,,,,
Lepard,Ashley,F,26,Montreal,QC,Canada,,,,
Nguyen,Rocky,M,25,Montreal,QC,Canada,,,,
Delgado,Joshua,M,28,Montreal,QC,Canada,,,,
Lucas,Ailec,M,22,Montreal,QC,Canada,,,,
Risley,Brandon,M,24,Montreal,QC,Canada,,,,
Howard,Justin,M,24,Montreal,QC,Canada,,,,
Jones,Hofmann,F,24,Montreal,QC,Canada,,,,
Henderson,Kai,M,24,Montreal,QC,Canada,,,,
Dupins,Christopher,M,22,Montreal,QC,Canada,,,,
Lovato,Aliaha,F,21,Montreal,QC,Canada,,,,
Shoeboot,Anicca,F,23,Montreal,QC,Canada,,,,
Tomlin,May,F,23,Montreal,QC,Canada,,,,
Nelson,Jericho,M,23,Montreal,QC,Canada,,,,
Nortey,Maria,F,27,Montreal,QC,Canada,,,,
Leblanc,Christel,F,21,Montreal,QC,Canada,,,,
Rodriguez,Crystal,F,26,Montreal,QC,Canada,,,,
Prechtl,Angel,M,28,Montreal,QC,Canada,,,,
Frye,Dylan,M,25,Montreal,QC,Canada,,,,
Segura,Olivia,F,28,Montreal,QC,Canada,,,,
Bell,Sha,F,24,Montreal,QC,Canada,,,,
Almony,Brandon,M,22,Montreal,QC,Canada,,,,
Gardea,Herndez,F,28,Montreal,QC,Canada,,,,
Qualls,Vanessa,F,27,Montreal,QC,Canada,,,,
Avila,Wesley,M,29,Montreal,QC,Canada,,,,
Ahmed,Brigid,F,26,Montreal,QC,Canada,,,,
Talent,Shalimar,F,30,Montreal,QC,Canada,,,,
Ledesma,Isabel,F,24,Montreal,QC,Canada,,,,
Malchow,Du,M,25,Montreal,QC,Canada,,,,
Sharma,Aaron,M,25,Montreal,QC,Canada,,,,
Puente,Chelseya,F,20,Montreal,QC,Canada,,,,
Lindley,Ashley,F,25,Montreal,QC,Canada,,,,
Thompson,Smokey,M,24,Montreal,QC,Canada,,,,
Carpinelli,Luis,M,18,Montreal,QC,Canada,,,,
Trujillo,Shaquiel,F,20,Montreal,QC,Canada,,,,
Wickwire,Robin,M,19,Montreal,QC,Canada,,,,
Williams,Henry,M,22,Montreal,QC,Canada,,,,
Reeder,Brian,F,23,Montreal,QC,Canada,,,,
Jurado,Sara,F,26,Montreal,QC,Canada,,,,
Seth,Dominique,M,21,Montreal,QC,Canada,,,,
Carter,Jami,F,22,Montreal,QC,Canada,,,,
Sebben,Kashaun,M,19,Montreal,QC,Canada,,,,
Bui,Bryan,M,28,Montreal,QC,Canada,,,,
Woods,Julia,F,21,Montreal,QC,Canada,,,,
Leger,Latischia,F,26,Montreal,QC,Canada,,,,
Hardy,Jessica,F,25,Montreal,QC,Canada,,,,
Campbell,Raymond,M,19,Montreal,QC,Canada,,,,
Bancroft,Connor,M,21,Montreal,QC,Canada,,,,
Begay,William,M,21,Montreal,QC,Canada,,,,
Lam,Jose,M,23,Montreal,QC,Canada,,,,
Santistevan,Paul,M,22,Montreal,QC,Canada,,,,
Harlan,Jessie,F,23,Montreal,QC,Canada,,,,
Danner,Bradley,M,23,Montreal,QC,Canada,,,,
Herbert,Katie,F,25,Montreal,QC,Canada,,,,
Vigil,Desjay,F,22,Montreal,QC,Canada,,,,
Li,Mahke,M,25,Montreal,QC,Canada,,,,
Gezaw,Shayla,F,26,Montreal,QC,Canada,,,,
Dao,Theopolis,M,25,Montreal,QC,Canada,,,,
Kemp,Alex,M,27,Montreal,QC,Canada,,,,
Evans,Tre,M,23,Montreal,QC,Canada,,,,
Pino,Tyler,M,24,Montreal,QC,Canada,,,,
Vaughn,Lae,F,21,Montreal,QC,Canada,,,,
Simpson,Eric,M,23,Montreal,QC,Canada,,,,
Smith,Jesse,F,25,Montreal,QC,Canada,,,,
Wieber,Kevin,M,31,Montreal,QC,Canada,,,,
Carlson,Emily,F,31,Montreal,QC,Canada,,,,
Valdez,Evelyn,F,24,Montreal,QC,Canada,,,,
Diaz,Pesta,F,23,Montreal,QC,Canada,,,,
Clark,Lauren,F,25,Montreal,QC,Canada,,,,
Jones,Garam,M,22,Montreal,QC,Canada,,,,
Haileselassie,Rachelle,F,23,Montreal,QC,Canada,,,,
Hunn,Smith,F,26,Montreal,QC,Canada,,,,
Stewart,Hanh,F,20,Montreal,QC,Canada,,,,
Han,Edgar,M,27,Montreal,QC,Canada,,,,
Richardson,Alla,F,31,Montreal,QC,Canada,,,,
Ziccardi,Shelby,F,24,Montreal,QC,Canada,,,,
Mai,Matthew,M,19,Montreal,QC,Canada,,,,
Sanborn,Kirsten,F,26,Montreal,QC,Canada,,,,
Ramirez,Carreon,F,21,Montreal,QC,Canada,,,,
Eden,Michael,M,24,Montreal,QC,Canada,,,,
Datta,Lavies,M,29,Montreal,QC,Canada,,,,
Brown,Hanh,F,31,Montreal,QC,Canada,,,,
Barba,Robyn,F,21,Montreal,QC,Canada,,,,
Lopez,Valdez,F,24,Montreal,QC,Canada,,,,
Garcia,talia,F,27,Montreal,QC,Canada,,,,
Heyward,Rachelle,F,28,Montreal,QC,Canada,,,,
Brown,Olivia,F,32,Montreal,QC,Canada,,,,
Hemsouvanh,Sammie,M,26,Vancouver,BC,Canada,,,,
Vaughn,D'Andre,M,27,Vancouver,BC,Canada,,,,
Hettler,Sonia,F,27,Vancouver,BC,Canada,,,,
Coreau,Rodolfo,M,26,Vancouver,BC,Canada,,,,
Fu,Henry,M,24,Vancouver,BC,Canada,,,,
Zhang,Richardlee,M,27,Vancouver,BC,Canada,,,,
Mcfalls-Brothers,Lily,F,24,Vancouver,BC,Canada,,,,
Pourier,James,M,24,Vancouver,BC,Canada,,,,
Ramirez,Alexander,M,23,Vancouver,BC,Canada,,,,
Jarisch,Emma,F,24,Vancouver,BC,Canada,,,,
Thompson,Scott,M,26,Vancouver,BC,Canada,,,,
Trujillo,Essence,F,22,Vancouver,BC,Canada,,,,
Day,Clay,M,24,Vancouver,BC,Canada,,,,
Silver,Allegra,F,25,Vancouver,BC,Canada,,,,
James,Justin,M,24,Vancouver,BC,Canada,,,,
Lee,Jordan,M,27,Vancouver,BC,Canada,,,,
Esquivel,Hanh,F,25,Vancouver,BC,Canada,,,,
Garcia,Gavrielle,F,23,Vancouver,BC,Canada,,,,
Oliver,Sien,F,23,Vancouver,BC,Canada,,,,
Zhang,Sandro,M,26,Vancouver,BC,Canada,,,,
Le,Joshua,M,26,Vancouver,BC,Canada,,,,
Imperiale,Jessica,F,23,Vancouver,BC,Canada,,,,
Davis,Kelton,M,20,Vancouver,BC,Canada,,,,
Shemel,Ryan,M,18,Vancouver,BC,Canada,,,,
Jackson,Lauren,F,25,Vancouver,BC,Canada,,,,
Valdez,Dulce,F,17,Vancouver,BC,Canada,,,,
Ramdas,Jose,M,28,Vancouver,BC,Canada,,,,
Smith,Migmar,F,28,Vancouver,BC,Canada,,,,
Evans,Ichiko,F,27,Vancouver,BC,Canada,,,,
Wang,David,M,24,Vancouver,BC,Canada,,,,
Meier,Victoria,F,22,Vancouver,BC,Canada,,,,
Black,Adam,M,21,Vancouver,BC,Canada,,,,
Woodard,Vanessa,F,23,Vancouver,BC,Canada,,,,
Rice,Terri,F,24,Vancouver,BC,Canada,,,,
Amos,White,F,25,Vancouver,BC,Canada,,,,
Chacon,Ali,M,22,Vancouver,BC,Canada,,,,
Hamilton,Maria,F,25,Vancouver,BC,Canada,,,,
Austin,Melissa,F,23,Vancouver,BC,Canada,,,,
Trujillo,John,M,32,Vancouver,BC,Canada,,,,
Fierro,Angelica,F,23,Vancouver,BC,Canada,,,,
Morris,Taryn,F,24,Vancouver,BC,Canada,,,,
Blount,Hanh,F,24,Vancouver,BC,Canada,,,,
Keuhne,Brian,M,23,Vancouver,BC,Canada,,,,
Dumon,Angel,M,24,Vancouver,BC,Canada,,,,
Cabral,Mendez,F,22,Vancouver,BC,Canada,,,,
Oh,Luis,M,25,Vancouver,BC,Canada,,,,
Velazquez,Hope,F,24,Vancouver,BC,Canada,,,,
Harris,May,F,20,Vancouver,BC,Canada,,,,
Yang,Alex,M,21,Vancouver,BC,Canada,,,,
Keyer,Jaydan,M,27,Vancouver,BC,Canada,,,,
Matthews,Leilani,F,26,Vancouver,BC,Canada,,,,
Rodriguez,Jei,F,22,Vancouver,BC,Canada,,,,
Flores,Lopez,F,24,Vancouver,BC,Canada,,,,
Gonzalez,Alyssa,F,23,Vancouver,BC,Canada,,,,
Johnson,Victoria,F,18,Vancouver,BC,Canada,,,,
Holmes,Michelle,F,21,Vancouver,BC,Canada,,,,
Covarrubias,Alexah,F,26,Vancouver,BC,Canada,,,,
Vang,Thomas,M,19,Vancouver,BC,Canada,,,,
Jones,Jin,F,31,Vancouver,BC,Canada,,,,
Amelkin,Kento,M,21,Vancouver,BC,Canada,,,,
Sierra,Karla,F,22,Vancouver,BC,Canada,,,,
Perez,Danielle,F,25,Vancouver,BC,Canada,,,,
Makaiwi,Dakota,M,26,Vancouver,BC,Canada,,,,
Harris,Maasa,F,24,Vancouver,BC,Canada,,,,
Kim,Joshua,M,21,Vancouver,BC,Canada,,,,
Chen,Diego,M,29,Vancouver,BC,Canada,,,,
